amazing : amazingly = apparent : apparently -> ['apparent', 'amazingly', 'extremly', 'alarmingly', 'evident']
apparent : apparently = happy : happily -> ['happy', 'apparently', 'evidently', 'blissfully', 'amiably']
apparent : apparently = immediate : immediately -> ['apparently', 'immediate', 'evidently', 'presumably', 'obviously']
apparent : apparently = infrequent : infrequently -> ['apparently', 'infrequent', 'evidently', 'infrequently', 'presumably']
apparent : apparently = lucky : luckily -> ['lucky', 'apparently', 'evidently', 'supposedly', 'presumably']
apparent : apparently = most : mostly -> ['most', 'apparently', 'evidently', 'second-most', 'third-most']
apparent : apparently = obvious : obviously -> ['apparently', 'evidently', 'obviously', 'supposedly', 'presumably']
apparent : apparently = occasional : occasionally -> ['occasional', 'apparently', 'occasionally', 'evidently', 'often']
apparent : apparently = possible : possibly -> ['apparently', 'possible', 'evidently', 'presumably', 'supposedly']
apparent : apparently = precise : precisely -> ['precise', 'apparently', 'evidently', 'obviously', 'seemly']
apparent : apparently = professional : professionally -> ['professional', 'apparently', 'proffesional', 'semi-professional', 'non-professional']
apparent : apparently = quick : quickly -> ['quick', 'apparently', 'evidently', 'seemingly', 'supposedly']
apparent : apparently = quiet : quietly -> ['quiet', 'apparently', 'evidently', 'largely', 'wonderfully']
apparent : apparently = rapid : rapidly -> ['rapid', 'apparently', 'evidently', 'presumably', 'supposedly']
apparent : apparently = rare : rarely -> ['rare', 'apparently', 'evidently', 'similar-looking', 'presumably']
apparent : apparently = reluctant : reluctantly -> ['reluctant', 'hesitant', 'apparently', 'unwilling', 'reluctantly']
apparent : apparently = safe : safely -> ['safe', 'apparently', 'evidently', 'supposedly', 'safer']
apparent : apparently = serious : seriously -> ['serious', 'apparently', 'evidently', 'obviously', 'supposedly']
apparent : apparently = slow : slowly -> ['slow', 'apparently', 'evidently', 'fast', 'presumably']
apparent : apparently = sudden : suddenly -> ['apparently', 'sudden', 'evidently', 'downpour', 'seemingly']
apparent : apparently = swift : swiftly -> ['swift', 'apparently', 'supposedly', 'evidently', 'reportedly']
apparent : apparently = typical : typically -> ['typical', 'apparently', 'typically', 'traditionally', 'evidently']
apparent : apparently = unfortunate : unfortunately -> ['apparently', 'unfortunate', 'evidently', 'supposedly', 'obviously']
apparent : apparently = usual : usually -> ['usual', 'apparently', 'evidently', 'supposedly', 'traditionally']
apparent : apparently = amazing : amazingly -> ['amazing', 'apparently', 'evidently', 'awesome', 'obviously']
calm : calmly = cheerful : cheerfully -> ['calmly', 'cheerfully', 'cheerful', 'joyfully', 'provocatively']
calm : calmly = complete : completely -> ['complete', 'calmly', 'satisfactorily', 'intelligently', 'completes']
calm : calmly = efficient : efficiently -> ['efficient', 'calmly', 'efficiently', 'intelligently', 'cost-efficient']
calm : calmly = fortunate : fortunately -> ['fortunate', 'calmly', 'tactfully', 'rashly', 'eloquently']
calm : calmly = free : freely -> ['free', 'calmly', 'freely', 'intelligently', 'angrily']
calm : calmly = furious : furiously -> ['furious', 'calmly', 'furiously', 'angrily', 'enraged']
calm : calmly = happy : happily -> ['happy', 'calmly', 'happily', 'cheerfully', 'candidly']
calm : calmly = immediate : immediately -> ['immediate', 'calmly', 'impending', 'immediately', 'urgent']
calm : calmly = infrequent : infrequently -> ['infrequent', 'calmly', 'occasional', 'frequent', 'occassional']
calm : calmly = lucky : luckily -> ['lucky', 'calmly', 'angrily', 'excitedly', 'callously']
calm : calmly = most : mostly -> ['most', 'calmly', 'second-most', 'third-most', 'intelligently']
calm : calmly = obvious : obviously -> ['obvious', 'calmly', 'apparent', 'tactfully', 'apparant']
calm : calmly = occasional : occasionally -> ['occasional', 'calmly', 'occassional', 'fearlessly', 'infrequent']
calm : calmly = possible : possibly -> ['possible', 'calmly', 'probable', 'dispassionately', 'intelligently']
calm : calmly = precise : precisely -> ['precise', 'calmly', 'intelligently', 'concisely', 'exact']
calm : calmly = professional : professionally -> ['professional', 'calmly', 'professional-level', 'semi-professional', 'proffesional']
calm : calmly = quick : quickly -> ['quick', 'calmly', 'intelligently', 'furiously', 'nonchalantly']
calm : calmly = quiet : quietly -> ['calmly', 'quiet', 'quietly', 'nonchalantly', 'cheerfully']
calm : calmly = rapid : rapidly -> ['rapid', 'calmly', 'furiously', 'gradual', 'intelligently']
calm : calmly = rare : rarely -> ['rare', 'calmly', 'rarer', 'uncommon', 'lever-action']
calm : calmly = reluctant : reluctantly -> ['reluctant', 'hesitant', 'calmly', 'unwilling', 'refuses']
calm : calmly = safe : safely -> ['safe', 'calmly', 'confidently', 'safer', 'intelligently']
calm : calmly = serious : seriously -> ['serious', 'calmly', 'maturely', 'candidly', 'grievous']
calm : calmly = slow : slowly -> ['calmly', 'slow', 'fast', 'slower', 'furiously']
calm : calmly = sudden : suddenly -> ['sudden', 'calmly', 'nonchalantly', 'angrily', 'furiously']
calm : calmly = swift : swiftly -> ['swift', 'calmly', 'furiously', 'angrily', 'plumly']
calm : calmly = typical : typically -> ['typical', 'traditional', 'calmly', 'usual', 'conventional']
calm : calmly = unfortunate : unfortunately -> ['unfortunate', 'calmly', 'improbable', 'embarrassing', 'ill-timed']
calm : calmly = usual : usually -> ['usual', 'calmly', 'aforementioned', 'traditional', 'angrily']
calm : calmly = amazing : amazingly -> ['amazing', 'incredible', 'calmly', 'astonishing', 'astounding']
calm : calmly = apparent : apparently -> ['apparent', 'obvious', 'calmly', 'evident', 'apparant']
cheerful : cheerfully = complete : completely -> ['complete', 'cheerfully', 'preemptively', 'singlehandedly', 'methodically']
cheerful : cheerfully = efficient : efficiently -> ['efficient', 'efficiently', 'cheerfully', 'cost-effectively', 'effectually']
cheerful : cheerfully = fortunate : fortunately -> ['fortunate', 'tactfully', 'cheerfully', 'meekly', 'loath']
cheerful : cheerfully = free : freely -> ['free', 'freely', 'cheerfully', 'meekly', 'preemptively']
cheerful : cheerfully = furious : furiously -> ['furious', 'furiously', 'cheerfully', 'angrily', 'gleefully']
cheerful : cheerfully = happy : happily -> ['happy', 'cheerfully', 'meekly', 'begrudgingly', 'tactfully']
cheerful : cheerfully = immediate : immediately -> ['immediate', 'immediatly', 'cheerfully', 'immediately', 'preemptively']
cheerful : cheerfully = infrequent : infrequently -> ['infrequent', 'cheerfully', 'infrequently', 'occasional', 'repetitively']
cheerful : cheerfully = lucky : luckily -> ['lucky', 'meekly', 'cheerfully', 'callously', 'indignantly']
cheerful : cheerfully = most : mostly -> ['most', 'cheerfully', 'second-most', 'preemptively', 'third-most']
cheerful : cheerfully = obvious : obviously -> ['obvious', 'edokter', 'bstone', 'blatently', 'inadvertantly']
cheerful : cheerfully = occasional : occasionally -> ['occasional', 'cheerfully', 'occasionally', 'occassional', 'gleefully']
cheerful : cheerfully = possible : possibly -> ['possible', 'pre-emptively', 'preemptively', 'polargeo', 'belchfire']
cheerful : cheerfully = precise : precisely -> ['precise', 'authoritatively', 'tactfully', 'pragmatically', 'uncritically']
cheerful : cheerfully = professional : professionally -> ['professional', 'unhesitatingly', 'cheerfully', 'begrudgingly', 'meekly']
cheerful : cheerfully = quick : quickly -> ['quick', 'cheerfully', 'meekly', 'immediatly', 'preemptively']
cheerful : cheerfully = quiet : quietly -> ['cheerfully', 'quiet', 'meekly', 'quietly', 'silently']
cheerful : cheerfully = rapid : rapidly -> ['rapid', 'cheerfully', 'preemptively', 'en-masse', 'reflexively']
cheerful : cheerfully = rare : rarely -> ['rare', 'flippantly', 'cheerfully', 'opportunistically', 'meekly']
cheerful : cheerfully = reluctant : reluctantly -> ['reluctant', 'hesitant', 'loath', 'cheerfully', 'reluctantly']
cheerful : cheerfully = safe : safely -> ['safe', 'cheerfully', 'meekly', 'preemptively', 'blithely']
cheerful : cheerfully = serious : seriously -> ['serious', 'cheerfully', 'inadvertantly', 'severe', 'niggling']
cheerful : cheerfully = slow : slowly -> ['slow', 'cheerfully', 'lazily', 'meekly', 'tediously']
cheerful : cheerfully = sudden : suddenly -> ['sudden', 'meekly', 'cheerfully', 'reflexively', 'immediatly']
cheerful : cheerfully = swift : swiftly -> ['swift', 'cheerfully', 'meekly', 'hawkeye7', 'brusquely']
cheerful : cheerfully = typical : typically -> ['typical', 'cheerfully', 'typically', 'routinely', 'opportunistically']
cheerful : cheerfully = unfortunate : unfortunately -> ['unfortunate', 'flippantly', 'cheerfully', 'meekly', 'thoughtlessly']
cheerful : cheerfully = usual : usually -> ['usual', 'cheerfully', 'blithely', 'meekly', 'blindly']
cheerful : cheerfully = amazing : amazingly -> ['amazing', 'incredible', 'cheerfully', 'gleefully', 'astonishing']
cheerful : cheerfully = apparent : apparently -> ['apparent', 'obvious', 'indignantly', 'tactfully', 'meekly']
cheerful : cheerfully = calm : calmly -> ['cheerfully', 'calm', 'meekly', 'courteously', 'blithely']
complete : completely = efficient : efficiently -> ['efficient', 'completely', 'inefficient', 'totally', 'utterly']
complete : completely = fortunate : fortunately -> ['fortunate', 'completely', 'totally', 'utterly', 'profoundly']
complete : completely = free : freely -> ['free', 'completely', 'totally', 'entirely', 'utterly']
complete : completely = furious : furiously -> ['furious', 'completely', 'totally', 'despondent', 'heart-broken']
complete : completely = happy : happily -> ['happy', 'completely', 'totally', 'blissfully', 'utterly']
complete : completely = immediate : immediately -> ['immediate', 'completely', 'entirely', 'totally', 'utterly']
complete : completely = infrequent : infrequently -> ['infrequent', 'completely', 'totally', 'entirely', 'utterly']
complete : completely = lucky : luckily -> ['lucky', 'totally', 'completely', 'blissfully', 'utterly']
complete : completely = most : mostly -> ['most', 'completely', 'totally', 'utterly', 'entirely']
complete : completely = obvious : obviously -> ['obvious', 'completely', 'totally', 'utterly', 'totaly']
complete : completely = occasional : occasionally -> ['occasional', 'completely', 'entirely', 'totally', 'occasionally']
complete : completely = possible : possibly -> ['possible', 'completely', 'totally', 'entirely', 'completly']
complete : completely = precise : precisely -> ['completely', 'precise', 'totally', 'entirely', 'completly']
complete : completely = professional : professionally -> ['professional', 'completely', 'totally', 'entirely', 'wholly']
complete : completely = quick : quickly -> ['quick', 'completely', 'totally', 'utterly', 'entirely']
complete : completely = quiet : quietly -> ['quiet', 'completely', 'totally', 'entirely', 'utterly']
complete : completely = rapid : rapidly -> ['rapid', 'completely', 'totally', 'rapidly', 'entirely']
complete : completely = rare : rarely -> ['rare', 'completely', 'totally', 'entirely', 'wholly']
complete : completely = reluctant : reluctantly -> ['reluctant', 'hesitant', 'completely', 'unwilling', 'totally']
complete : completely = safe : safely -> ['safe', 'completely', 'totally', 'entirely', 'safer']
complete : completely = serious : seriously -> ['completely', 'serious', 'totally', 'completly', 'severly']
complete : completely = slow : slowly -> ['slow', 'completely', 'totally', 'fast', 'utterly']
complete : completely = sudden : suddenly -> ['sudden', 'completely', 'totally', 'suddenly', 'seemingly']
complete : completely = swift : swiftly -> ['swift', 'completely', 'totally', 'entirely', 'wholly']
complete : completely = typical : typically -> ['typical', 'completely', 'totally', 'distinctly', 'entirely']
complete : completely = unfortunate : unfortunately -> ['unfortunate', 'utterly', 'totally', 'completely', 'completly']
complete : completely = usual : usually -> ['usual', 'completely', 'totally', 'utterly', 'entirely']
complete : completely = amazing : amazingly -> ['amazing', 'utterly', 'completely', 'totally', 'entirely']
complete : completely = apparent : apparently -> ['apparent', 'completely', 'utterly', 'totally', 'entirely']
complete : completely = calm : calmly -> ['calm', 'completely', 'totally', 'utterly', 'blissfully']
complete : completely = cheerful : cheerfully -> ['cheerful', 'completely', 'totally', 'bubbly', 'sullen']
efficient : efficiently = fortunate : fortunately -> ['fortunate', 'efficiently', 'peaceably', 'adroitly', 'gratified']
efficient : efficiently = free : freely -> ['free', 'freely', 'efficiently', 'productively', 'interactively']
efficient : efficiently = furious : furiously -> ['furious', 'furiously', 'angrily', 'efficiently', 'distraught']
efficient : efficiently = happy : happily -> ['happy', 'efficiently', 'peaceably', 'civily', 'glad']
efficient : efficiently = immediate : immediately -> ['immediate', 'expeditiously', 'efficiently', 'immediately', 'asynchronously']
efficient : efficiently = infrequent : infrequently -> ['infrequent', 'infrequently', 'efficiently', 'regularly', 'occasional']
efficient : efficiently = lucky : luckily -> ['lucky', 'efficiently', 'granddad', 'poof', 'shoo']
efficient : efficiently = most : mostly -> ['most', 'second-most', 'efficiently', 'third-most', 'fourth-most']
efficient : efficiently = obvious : obviously -> ['obvious', 'efficiently', 'apparent', 'expeditiously', 'evident']
efficient : efficiently = occasional : occasionally -> ['occasional', 'occasionally', 'regularly', 'periodically', 'efficiently']
efficient : efficiently = possible : possibly -> ['possible', 'efficiently', 'expeditiously', 'deterministically', 'meaningfully']
efficient : efficiently = precise : precisely -> ['precise', 'efficiently', 'accurately', 'coherently', 'intelligently']
efficient : efficiently = professional : professionally -> ['professional', 'efficiently', 'semi-professional', 'co-operatively', 'collaboratively']
efficient : efficiently = quick : quickly -> ['quick', 'efficiently', 'expeditiously', 'swiftly', 'interactively']
efficient : efficiently = quiet : quietly -> ['quiet', 'efficiently', 'quietly', 'silently', 'sensitively']
efficient : efficiently = rapid : rapidly -> ['rapid', 'efficiently', 'rapidly', 'swiftly', 'asynchronously']
efficient : efficiently = rare : rarely -> ['rare', 'efficiently', 'rarer', 'scarce', 'priceless']
efficient : efficiently = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'disinclined', 'loath']
efficient : efficiently = safe : safely -> ['safe', 'efficiently', 'safely', 'securely', 'expeditiously']
efficient : efficiently = serious : seriously -> ['serious', 'severe', 'life-threatening', 'efficiently', 'grievous']
efficient : efficiently = slow : slowly -> ['slow', 'efficiently', 'swiftly', 'fast', 'erratically']
efficient : efficiently = sudden : suddenly -> ['sudden', 'heatstroke', 'fainting', 'tiredness', 'nervousness']
efficient : efficiently = swift : swiftly -> ['swift', 'efficiently', 'swiftly', 'adroitly', 'asynchronously']
efficient : efficiently = typical : typically -> ['typical', 'efficiently', 'typically', 'asynchronously', 'deterministically']
efficient : efficiently = unfortunate : unfortunately -> ['unfortunate', 'embarassing', 'unpleasant', 'perplexing', 'regrettable']
efficient : efficiently = usual : usually -> ['usual', 'efficiently', 'expeditiously', 'adroitly', 'frequently']
efficient : efficiently = amazing : amazingly -> ['amazing', 'incredible', 'astonishing', 'efficiently', 'astounding']
efficient : efficiently = apparent : apparently -> ['apparent', 'evident', 'obvious', 'efficiently', 'apparant']
efficient : efficiently = calm : calmly -> ['calm', 'efficiently', 'courteously', 'silently', 'neutrally']
efficient : efficiently = cheerful : cheerfully -> ['cheerful', 'cheery', 'sweetly', 'cheerfully', 'carefree']
efficient : efficiently = complete : completely -> ['complete', 'efficiently', 'satisfactorily', 'properly', 'near-complete']
fortunate : fortunately = free : freely -> ['free', 'fortunately', 'unfortunately', 'luckily', 'afaik']
fortunate : fortunately = furious : furiously -> ['furious', 'fortunately', 'unfortunately', 'disarms', 'dodges']
fortunate : fortunately = happy : happily -> ['fortunately', 'happy', 'luckily', 'unfortunately', 'thankfully']
fortunate : fortunately = immediate : immediately -> ['fortunately', 'immediate', 'unfortunately', 'luckily', 'thankfully']
fortunate : fortunately = infrequent : infrequently -> ['fortunately', 'infrequent', 'occasional', 'unfortunately', 'intermittent']
fortunate : fortunately = lucky : luckily -> ['fortunately', 'luckily', 'unfortunately', 'lucky', 'thankfully']
fortunate : fortunately = most : mostly -> ['most', 'fortunately', 'unfortunately', 'second-most', 'third-most']
fortunate : fortunately = obvious : obviously -> ['fortunately', 'obvious', 'unfortunately', 'afaict', 'luckily']
fortunate : fortunately = occasional : occasionally -> ['occasional', 'fortunately', 'infrequent', 'unfortunately', 'occassional']
fortunate : fortunately = possible : possibly -> ['possible', 'fortunately', 'unfortunately', 'luckily', 'feasible']
fortunate : fortunately = precise : precisely -> ['fortunately', 'precise', 'unfortunately', 'exact', 'formating']
fortunate : fortunately = professional : professionally -> ['professional', 'fortunately', 'unfortunately', 'semiprofessional', 'professional-level']
fortunate : fortunately = quick : quickly -> ['fortunately', 'quick', 'unfortunately', 'luckily', 'gsearch']
fortunate : fortunately = quiet : quietly -> ['quiet', 'fortunately', 'luckily', 'unfortunately', 'thankfully']
fortunate : fortunately = rapid : rapidly -> ['rapid', 'fortunately', 'unfortunately', 'interborough', 'peristaltic']
fortunate : fortunately = rare : rarely -> ['fortunately', 'rare', 'unfortunately', 'luckily', 'thankfully']
fortunate : fortunately = reluctant : reluctantly -> ['fortunately', 'reluctant', 'unfortunately', 'refuses', 'luckily']
fortunate : fortunately = safe : safely -> ['fortunately', 'safe', 'luckily', 'unfortunately', 'egress']
fortunate : fortunately = serious : seriously -> ['fortunately', 'serious', 'unfortunately', 'luckily', 'niggling']
fortunate : fortunately = slow : slowly -> ['fortunately', 'slow', 'unfortunately', 'slows', 'wobbling']
fortunate : fortunately = sudden : suddenly -> ['sudden', 'fortunately', 'unfortunately', 'suddenly', 'nosebleeds']
fortunate : fortunately = swift : swiftly -> ['swift', 'fortunately', 'luckily', 'unfortunately', 'fennec']
fortunate : fortunately = typical : typically -> ['typical', 'fortunately', 'unfortunately', 'ready-to-use', 'luckily']
fortunate : fortunately = unfortunate : unfortunately -> ['fortunately', 'unfortunately', 'unfortunate', 'luckily', 'thankfully']
fortunate : fortunately = usual : usually -> ['usual', 'fortunately', 'unfortunately', 'luckily', 'now-familiar']
fortunate : fortunately = amazing : amazingly -> ['fortunately', 'amazing', 'unfortunately', 'incredible', 'luckily']
fortunate : fortunately = apparent : apparently -> ['fortunately', 'apparent', 'unfortunately', 'luckily', 'thankfully']
fortunate : fortunately = calm : calmly -> ['calm', 'fortunately', 'calms', 'luckily', 'unfortunately']
fortunate : fortunately = cheerful : cheerfully -> ['fortunately', 'cheerful', 'cheery', 'bubbly', 'brainy']
fortunate : fortunately = complete : completely -> ['complete', 'fortunately', 'near-complete', 'partial', 'unfortunately']
fortunate : fortunately = efficient : efficiently -> ['fortunately', 'efficient', 'energy-efficient', 'in-place', 'aerospike']
free : freely = furious : furiously -> ['furious', 'furiously', 'freely', 'sympathetically', 'disgusted']
free : freely = happy : happily -> ['happy', 'happily', 'pleased', 'freely', 'cheerfully']
free : freely = immediate : immediately -> ['immediate', 'fluidly', 'directly', 'freely', 'immediately']
free : freely = infrequent : infrequently -> ['infrequent', 'infrequently', 'frequent', 'occasional', 'frequently']
free : freely = lucky : luckily -> ['lucky', 'freely', 'cleverly', 'discreetly', 'tickled']
free : freely = most : mostly -> ['most', 'second-most', 'third-most', 'fourth-most', 'freely']
free : freely = obvious : obviously -> ['obvious', 'apparent', 'evident', 'straightforwardly', 'apparant']
free : freely = occasional : occasionally -> ['occasional', 'occasionally', 'freely', 'intermittently', 'frequently']
free : freely = possible : possibly -> ['possible', 'freely', 'feasible', 'practicable', 'quantitatively']
free : freely = precise : precisely -> ['precise', 'accurately', 'concretely', 'fluidly', 'freely']
free : freely = professional : professionally -> ['professional', 'freely', 'non-professional', 'semi-professional', 'proffesional']
free : freely = quick : quickly -> ['quick', 'freely', 'fluidly', 'lazily', 'effortlessly']
free : freely = quiet : quietly -> ['quiet', 'freely', 'quietly', 'fluidly', 'chaotically']
free : freely = rapid : rapidly -> ['rapid', 'fluidly', 'freely', 'rapidly', 'erratically']
free : freely = rare : rarely -> ['rare', 'freely', 'plesiomorphic', 'scarce', 'rarer']
free : freely = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'freely', 'willing']
free : freely = safe : safely -> ['safe', 'freely', 'safely', 'safer', 'securely']
free : freely = serious : seriously -> ['serious', 'maturely', 'freely', 'problematically', 'grievous']
free : freely = slow : slowly -> ['slow', 'erratically', 'slower', 'freely', 'fluidly']
free : freely = sudden : suddenly -> ['sudden', 'unpredictably', 'abrupt', 'fluidly', 'gradual']
free : freely = swift : swiftly -> ['swift', 'freely', 'readily', 'swiftly', 'fluidly']
free : freely = typical : typically -> ['typical', 'typically', 'freely', 'fluidly', 'frequently']
free : freely = unfortunate : unfortunately -> ['unfortunate', 'disconcerting', 'unnerving', 'amusing', 'regrettable']
free : freely = usual : usually -> ['usual', 'freely', 'frequently', 'fluidly', 'readily']
free : freely = amazing : amazingly -> ['amazing', 'incredible', 'astonishing', 'unbelievable', 'awesome']
free : freely = apparent : apparently -> ['apparent', 'evident', 'obvious', 'freely', 'apparant']
free : freely = calm : calmly -> ['calm', 'courteous', 'freely', 'sensibly', 'discreetly']
free : freely = cheerful : cheerfully -> ['cheerful', 'cheery', 'talkative', 'sociable', 'personable']
free : freely = complete : completely -> ['complete', 'freely', 'properly', 'near-complete', 'seamlessly']
free : freely = efficient : efficiently -> ['efficient', 'efficiently', 'flexibly', 'freely', 'cost-effectively']
free : freely = fortunate : fortunately -> ['fortunate', 'freely', 'concretely', 'gratified', 'reticent']
furious : furiously = happy : happily -> ['happy', 'ceaselessly', 'unceasingly', 'furiously', 'patiently']
furious : furiously = immediate : immediately -> ['immediate', 'furiously', 'unceasingly', 'fruitlessly', 'unmet']
furious : furiously = infrequent : infrequently -> ['infrequent', 'occasional', 'infrequently', 'frequent', 'occassional']
furious : furiously = lucky : luckily -> ['lucky', 'furiously', 'ceaselessly', 'futilely', 'nervously']
furious : furiously = most : mostly -> ['most', 'second-most', 'third-most', 'many', 'fourth-most']
furious : furiously = obvious : obviously -> ['obvious', 'apparant', 'overt', 'blatently', 'willy-nilly']
furious : furiously = occasional : occasionally -> ['occasional', 'occasionally', 'occassional', 'innumerable', 'incessantly']
furious : furiously = possible : possibly -> ['possible', 'feverishly', 'willy-nilly', 'unceasingly', 'pragmatically']
furious : furiously = precise : precisely -> ['precise', 'exact', 'pin-point', 'accurate', 'pragmatically']
furious : furiously = professional : professionally -> ['professional', 'feverishly', 'professional-level', 'non-professional', 'semiprofessional']
furious : furiously = quick : quickly -> ['quick', 'furiously', 'frantically', 'fruitlessly', 'mindlessly']
furious : furiously = quiet : quietly -> ['quiet', 'restlessly', 'ceaselessly', 'intently', 'unceasingly']
furious : furiously = rapid : rapidly -> ['rapid', 'furiously', 'unceasingly', 'saccadic', 'patiently']
furious : furiously = rare : rarely -> ['rare', 'hard-to-find', 'uncommon', 'curios', 'uncoated']
furious : furiously = reluctant : reluctantly -> ['reluctant', 'unwilling', 'hesitant', 'loath', 'disinclined']
furious : furiously = safe : safely -> ['safe', 'safer', 'furiously', 'passively', 'unsafe']
furious : furiously = serious : seriously -> ['serious', 'niggling', 'grievous', 'severe', 'furiously']
furious : furiously = slow : slowly -> ['slow', 'furiously', 'slowing', 'noisily', 'restlessly']
furious : furiously = sudden : suddenly -> ['sudden', 'furiously', 'tiredness', 'lethargy', 'convulsions']
furious : furiously = swift : swiftly -> ['swift', 'furiously', 'fearlessly', 'courageously', 'frantically']
furious : furiously = typical : typically -> ['typical', 'traditional', 'pre-prepared', 'usual', 'lower-quality']
furious : furiously = unfortunate : unfortunately -> ['unfortunate', 'unexplainable', 'unsavoury', 'unpleasant', 'ill-judged']
furious : furiously = usual : usually -> ['usual', 'furiously', 'mindlessly', 'traditional', 'doggedly']
furious : furiously = amazing : amazingly -> ['amazing', 'incredible', 'furiously', 'obsessively', 'astonishing']
furious : furiously = apparent : apparently -> ['apparent', 'obvious', 'overt', 'apparant', 'unceasingly']
furious : furiously = calm : calmly -> ['calm', 'ceaselessly', 'patiently', 'unceasingly', 'furiously']
furious : furiously = cheerful : cheerfully -> ['cheerful', 'cheery', 'down-to-earth', 'care-free', 'homely']
furious : furiously = complete : completely -> ['complete', 'feverishly', 'diligently', 'near-complete', 'methodically']
furious : furiously = efficient : efficiently -> ['efficient', 'environmentally-friendly', 'cost-efficient', 'expeditious', 'energy-efficient']
furious : furiously = fortunate : fortunately -> ['fortunate', 'nobly', 'ceaselessly', 'earnestly', 'strenuously']
furious : furiously = free : freely -> ['free', 'freely', 'handouts', 'furiously', 'feverishly']
happy : happily = immediate : immediately -> ['immediate', 'happily', 'immediately', 'instant', 'initial']
