amazing : amazingly = apparent : apparently -> ['apparent', 'amazingly', 'apparently', 'exceedingly', 'obvious']
apparent : apparently = quick : quickly -> ['quick', 'apparently', 'clever', 'evidently', 'dogpile']
apparent : apparently = quiet : quietly -> ['quiet', 'quietly', 'sober', 'apparently', 'secluded']
apparent : apparently = rapid : rapidly -> ['rapid', 'apparently', 'interborough', 'slow', 'supposedly']
apparent : apparently = rare : rarely -> ['rare', 'apparently', 'rarely', 'little-known', 'supposedly']
apparent : apparently = reluctant : reluctantly -> ['reluctant', 'hesitant', 'apparently', 'unwilling', 'refused']
apparent : apparently = safe : safely -> ['safe', 'apparently', 'safer', 'supposedly', 'actually']
apparent : apparently = serious : seriously -> ['serious', 'apparently', 'obviously', 'evidently', 'unfortunately']
apparent : apparently = slow : slowly -> ['slow', 'apparently', 'fast', 'evidently', 'luckily']
apparent : apparently = sudden : suddenly -> ['sudden', 'apparently', 'seemingly', 'supposedly', 'suddenly']
apparent : apparently = swift : swiftly -> ['swift', 'apparently', 'supposedly', 'taylor', 'mcglashan']
apparent : apparently = typical : typically -> ['typical', 'apparently', 'basically', 'obviously', 'essentially']
apparent : apparently = unfortunate : unfortunately -> ['apparently', 'unfortunate', 'unfortunately', 'evidently', 'obviously']
apparent : apparently = usual : usually -> ['usual', 'apparently', 'obviously', 'evidently', 'basically']
apparent : apparently = amazing : amazingly -> ['amazing', 'apparently', 'amazingly', 'evidently', 'obviously']
calm : calmly = cheerful : cheerfully -> ['calmly', 'cheerful', 'gleefully', 'cheerfully', 'playfully']
calm : calmly = complete : completely -> ['complete', 'calmly', 'completes', 'properly', 'completing']
calm : calmly = efficient : efficiently -> ['efficient', 'efficiently', 'cost-effective', 'cost-effectively', 'calmly']
calm : calmly = fortunate : fortunately -> ['fortunate', 'calmly', 'pleased', 'leniently', 'courteously']
calm : calmly = free : freely -> ['free', 'calmly', 'freely', 'webhosting', 'non-drafted']
calm : calmly = furious : furiously -> ['furious', 'angrily', 'calmly', 'enraged', 'distraught']
calm : calmly = happy : happily -> ['happy', 'calmly', 'pleased', 'thrilled', 'glad']
calm : calmly = immediate : immediately -> ['immediate', 'calmly', 'consequences', 'actual', 'affirmatively']
calm : calmly = infrequent : infrequently -> ['infrequent', 'calmly', 'infrequently', 'occasional', 'frequent']
calm : calmly = lucky : luckily -> ['lucky', 'calmly', 'biff', 'innocently', 'casually']
calm : calmly = most : mostly -> ['most', 'second-most', 'calmly', 'toughest', 'hardest']
calm : calmly = obvious : obviously -> ['obvious', 'calmly', 'absurd', 'egregious', 'inapropriate']
calm : calmly = occasional : occasionally -> ['occasional', 'calmly', 'occassional', 'occasionally', 'infrequent']
calm : calmly = possible : possibly -> ['possible', 'calmly', 'practicable', 'probable', 'obvious']
calm : calmly = precise : precisely -> ['precise', 'calmly', 'accurately', 'concisely', 'accurate']
calm : calmly = professional : professionally -> ['professional', 'professionally', 'semi-professional', 'calmly', 'ice-hockey']
calm : calmly = quick : quickly -> ['quick', 'calmly', 'civily', 'cursory', 'competently']
calm : calmly = quiet : quietly -> ['calmly', 'quiet', 'quietly', 'nervously', 'casually']
calm : calmly = rapid : rapidly -> ['rapid', 'calmly', 'accelerating', 'interborough', 'accelerated']
calm : calmly = rare : rarely -> ['rare', 'rarer', 'calmly', 'rarely', 'rarest']
calm : calmly = reluctant : reluctantly -> ['reluctant', 'hesitant', 'refuses', 'refused', 'unwilling']
calm : calmly = safe : safely -> ['safe', 'safer', 'calmly', 'safely', 'unsafe']
calm : calmly = serious : seriously -> ['serious', 'calmly', 'fatal', 'grievous', 'life-threatening']
calm : calmly = slow : slowly -> ['slow', 'calmly', 'fast', 'slowing', 'faster']
calm : calmly = sudden : suddenly -> ['sudden', 'calmly', 'fatal', 'untimely', 'electrocution']
calm : calmly = swift : swiftly -> ['swift', 'calmly', 'farley', 'taylor', 'cooke']
calm : calmly = typical : typically -> ['typical', 'usual', 'calmly', 'traditional', 'conventional']
calm : calmly = unfortunate : unfortunately -> ['unfortunate', 'embarrassing', 'calmly', 'absurd', 'unintentional']
calm : calmly = usual : usually -> ['usual', 'calmly', 'actual', 'uncivilly', 'above-mentioned']
calm : calmly = amazing : amazingly -> ['amazing', 'incredible', 'astonishing', 'calmly', 'astounding']
calm : calmly = apparent : apparently -> ['apparent', 'obvious', 'calmly', 'actual', 'implied']
cheerful : cheerfully = complete : completely -> ['complete', 're-do', 're-start', 'cheerfully', 're-list']
cheerful : cheerfully = efficient : efficiently -> ['efficient', 'cost-effective', 'efficiencies', 'cost-effectively', 'efficiently']
cheerful : cheerfully = fortunate : fortunately -> ['fortunate', 'cheerfully', 'obliged', 'willing', 'disinclined']
cheerful : cheerfully = free : freely -> ['free', 'relicense', 'freely', 'cheerfully', 'fsf']
cheerful : cheerfully = furious : furiously -> ['furious', 'angrily', 'cheerfully', 'furiously', 'infuriated']
cheerful : cheerfully = happy : happily -> ['happy', 'cheerfully', 'glad', 'gladly', 'humbly']
cheerful : cheerfully = immediate : immediately -> ['immediate', 're-consider', 'cheerfully', 'de-sysopping', 'reconfirm']
cheerful : cheerfully = infrequent : infrequently -> ['infrequent', 'occasional', 'cheerfully', 'infrequently', 'frequent']
cheerful : cheerfully = lucky : luckily -> ['lucky', 'cheerfully', 'glad', 'yall', 'guys']
cheerful : cheerfully = most : mostly -> ['most', 'cheerfully', 'all', 'second-most', 'especially']
cheerful : cheerfully = obvious : obviously -> ['obvious', 'dlabtot', 'wiarthurhu', 'atren', 'iqinn']
cheerful : cheerfully = occasional : occasionally -> ['occasional', 'cheerfully', 'occassional', 'occasionally', 'infrequent']
cheerful : cheerfully = possible : possibly -> ['possible', 're-list', 'pre-emptively', 'practicable', 'percieve']
cheerful : cheerfully = precise : precisely -> ['precise', 'exact', 'accurate', 'accurately', 'specifics']
cheerful : cheerfully = professional : professionally -> ['professional', 'professionally', 'semi-professional', 'semi-pro', 'amateur']
cheerful : cheerfully = quick : quickly -> ['quick', 'cheerfully', 'recomend', 're-consider', 'doublecheck']
cheerful : cheerfully = quiet : quietly -> ['cheerfully', 'quiet', 'quietly', 'howled', 'blithely']
cheerful : cheerfully = rapid : rapidly -> ['rapid', 'accelerating', 'deindustrialization', 'widescale', 'suburbanization']
cheerful : cheerfully = rare : rarely -> ['rare', 'rarest', 'rarer', 'cheerfully', 'hard-to-find']
cheerful : cheerfully = reluctant : reluctantly -> ['reluctant', 'hesitant', 'disinclined', 'tempted', 'unwilling']
cheerful : cheerfully = safe : safely -> ['safe', 'cheerfully', 'safer', 'unsafe', 're-consider']
cheerful : cheerfully = serious : seriously -> ['serious', 'cheerfully', 'severe', 'keithbob', 'futher']
cheerful : cheerfully = slow : slowly -> ['slow', 'slowing', 'slowed', 'cheerfully', 'slows']
cheerful : cheerfully = sudden : suddenly -> ['sudden', 'cheerfully', 'hastened', 'hasten', 'untimely']
cheerful : cheerfully = swift : swiftly -> ['swift', 'cheerfully', 'farley', 'taylor', 'egan']
cheerful : cheerfully = typical : typically -> ['typical', 'cheerfully', 'usual', 'mislabeling', 'traditional']
cheerful : cheerfully = unfortunate : unfortunately -> ['unfortunate', 'cheerfully', 'wiarthurhu', 'ill-advised', 'djsasso']
cheerful : cheerfully = usual : usually -> ['usual', 'cheerfully', 'iqinn', 'farix', 'second-guessing']
cheerful : cheerfully = amazing : amazingly -> ['amazing', 'incredible', 'cheerfully', 'awesome', 'astonishing']
cheerful : cheerfully = apparent : apparently -> ['apparent', 'obvious', 'wiarthurhu', 'apparant', 'proofreader77']
cheerful : cheerfully = calm : calmly -> ['cheerfully', 'calm', 'calmly', 'calmed', 'civily']
complete : completely = efficient : efficiently -> ['efficient', 'inefficient', 'completely', 'totally', 'environmentally']
complete : completely = fortunate : fortunately -> ['fortunate', 'completely', 'totally', 'utterly', 'apparently']
complete : completely = free : freely -> ['free', 'completely', 'totally', 'entirely', 'fundamentally']
complete : completely = furious : furiously -> ['furious', 'totally', 'infuriated', 'completely', 'enraged']
complete : completely = happy : happily -> ['happy', 'totally', 'completely', 'forever', 'utterly']
complete : completely = immediate : immediately -> ['immediate', 'totally', 'completely', 'entirely', 'utterly']
complete : completely = infrequent : infrequently -> ['infrequent', 'completely', 'totally', 'entirely', 'largely']
complete : completely = lucky : luckily -> ['lucky', 'totally', 'completely', 'dumbfounded', 'unlucky']
complete : completely = most : mostly -> ['most', 'totally', 'completely', 'quite', 'utterly']
complete : completely = obvious : obviously -> ['obvious', 'totally', 'completely', 'utterly', 'blatantly']
complete : completely = occasional : occasionally -> ['occasional', 'completely', 'totally', 'occasionally', 'entirely']
complete : completely = possible : possibly -> ['possible', 'completely', 'totally', 'utterly', 'completly']
complete : completely = precise : precisely -> ['completely', 'precise', 'totally', 'fundamentally', 'somewhat']
complete : completely = professional : professionally -> ['professional', 'completely', 'totally', 'semi-professional', 'entirely']
complete : completely = quick : quickly -> ['completely', 'quick', 'totally', 'utterly', 'seemingly']
complete : completely = quiet : quietly -> ['quiet', 'completely', 'totally', 'quietly', 'seemingly']
complete : completely = rapid : rapidly -> ['rapid', 'completely', 'totally', 'rapidly', 'largely']
complete : completely = rare : rarely -> ['rare', 'totally', 'completely', 'utterly', 'largely']
complete : completely = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'completely', 'totally']
complete : completely = safe : safely -> ['safe', 'completely', 'totally', 'safer', 'entirely']
complete : completely = serious : seriously -> ['serious', 'completely', 'totally', 'apparently', 'utterly']
complete : completely = slow : slowly -> ['slow', 'completely', 'totally', 'largely', 'slowly']
complete : completely = sudden : suddenly -> ['sudden', 'completely', 'totally', 'suddenly', 'seemingly']
complete : completely = swift : swiftly -> ['swift', 'completely', 'totally', 'seemingly', 'profoundly']
complete : completely = typical : typically -> ['completely', 'typical', 'totally', 'somewhat', 'distinctly']
complete : completely = unfortunate : unfortunately -> ['unfortunate', 'totally', 'completely', 'utterly', 'apparently']
complete : completely = usual : usually -> ['usual', 'completely', 'totally', 'somewhat', 'fundamentally']
complete : completely = amazing : amazingly -> ['amazing', 'totally', 'completely', 'utterly', 'entirely']
complete : completely = apparent : apparently -> ['apparent', 'completely', 'totally', 'utterly', 'apparently']
complete : completely = calm : calmly -> ['calm', 'completely', 'totally', 'calmed', 'utterly']
complete : completely = cheerful : cheerfully -> ['cheerful', 'totally', 'completely', 'cheery', 'demeanor']
efficient : efficiently = fortunate : fortunately -> ['fortunate', 'efficiently', 'unable', 'unlucky', 'able']
efficient : efficiently = free : freely -> ['free', 'freely', 'gratis', 'efficiently', 'distributable']
efficient : efficiently = furious : furiously -> ['furious', 'distraught', 'furiously', 'enraged', 'horrified']
efficient : efficiently = happy : happily -> ['happy', 'glad', 'delighted', 'pleased', 'thrilled']
efficient : efficiently = immediate : immediately -> ['immediate', 'immediately', 'de-escalate', 'ameliorate', 'efficiently']
efficient : efficiently = infrequent : infrequently -> ['infrequent', 'infrequently', 'occasional', 'sporadic', 'frequent']
efficient : efficiently = lucky : luckily -> ['lucky', 'unlucky', 'glad', 'juggle', 'pretending']
efficient : efficiently = most : mostly -> ['most', 'second-most', 'hardest', 'particularly', 'many']
efficient : efficiently = obvious : obviously -> ['obvious', 'self-evident', 'blatant', 'unfixable', 'rediculous']
efficient : efficiently = occasional : occasionally -> ['occasional', 'occasionally', 'regularly', 'infrequent', 'occassional']
efficient : efficiently = possible : possibly -> ['possible', 'efficiently', 'expeditiously', 'humanly', 'correctly']
efficient : efficiently = precise : precisely -> ['precise', 'accurately', 'efficiently', 'pinpoint', 'precisely']
efficient : efficiently = professional : professionally -> ['professional', 'semi-professional', 'professionally', 'semi-pro', 'ice-hockey']
efficient : efficiently = quick : quickly -> ['quick', 'efficiently', 'quickly', 'fast', 'swiftly']
efficient : efficiently = quiet : quietly -> ['quiet', 'calm', 'tranquil', 'quietly', 'gloomy']
efficient : efficiently = rapid : rapidly -> ['rapid', 'rapidly', 'efficiently', 'sudden', 'accelerate']
efficient : efficiently = rare : rarely -> ['rare', 'rarely', 'lichen', 'tick-borne', 'rarest']
efficient : efficiently = reluctant : reluctantly -> ['reluctant', 'unable', 'unwilling', 'hesitant', 'able']
efficient : efficiently = safe : safely -> ['safe', 'safely', 'efficiently', 'properly', 'decontaminate']
efficient : efficiently = serious : seriously -> ['serious', 'severe', 'life-threatening', 'lingering', 'grievous']
efficient : efficiently = slow : slowly -> ['slow', 'fast', 'slowed', 'efficiently', 'slowly']
efficient : efficiently = sudden : suddenly -> ['sudden', 'palpitations', 'lethargy', 'despondency', 'convulsions']
efficient : efficiently = swift : swiftly -> ['swift', 'taylor', 'swiftly', 'gulliver', 'efficiently']
efficient : efficiently = typical : typically -> ['typical', 'typically', 'efficiently', 'similar', 'specific']
efficient : efficiently = unfortunate : unfortunately -> ['unfortunate', 'unexplainable', 'unforeseen', 'horrendous', 'unforeseeable']
efficient : efficiently = usual : usually -> ['usual', 'efficiently', 'correctly', 'properly', 'usually']
efficient : efficiently = amazing : amazingly -> ['amazing', 'incredible', 'astonishing', 'unbelievable', 'awesome']
efficient : efficiently = apparent : apparently -> ['apparent', 'obvious', 'evident', 'unexplainable', 'discernible']
efficient : efficiently = calm : calmly -> ['calm', 'calmly', 'calmed', 'cool', 'efficiently']
efficient : efficiently = cheerful : cheerfully -> ['cheerful', 'cheery', 'carefree', 'childlike', 'mischievous']
efficient : efficiently = complete : completely -> ['complete', 'properly', 'efficiently', 'replicate', 'satisfactorily']
fortunate : fortunately = free : freely -> ['free', 'fortunately', 'webhosting', 'ad-supported', 'unrestricted']
fortunate : fortunately = furious : furiously -> ['furious', 'fortunately', 'enraged', 'infuriated', 'angrily']
fortunate : fortunately = happy : happily -> ['fortunately', 'happy', 'sadly', 'happily', 'thankfully']
fortunate : fortunately = immediate : immediately -> ['immediate', 'fortunately', 'inevitable', 'imminent', 'impending']
fortunate : fortunately = infrequent : infrequently -> ['infrequent', 'fortunately', 'sporadic', 'occasional', 'intermittent']
fortunate : fortunately = lucky : luckily -> ['fortunately', 'lucky', 'luckily', 'chuckles', 'unfortunately']
fortunate : fortunately = most : mostly -> ['most', 'fortunately', 'fairly', 'unfortunately', 'excepting']
fortunate : fortunately = obvious : obviously -> ['obvious', 'fortunately', 'apparant', 'apparent', 'unfortunately']
fortunate : fortunately = occasional : occasionally -> ['occasional', 'fortunately', 'sporadic', 'occassional', 'infrequent']
fortunate : fortunately = possible : possibly -> ['possible', 'fortunately', 'deleteing', 'anyway', 'nft']
fortunate : fortunately = precise : precisely -> ['precise', 'fortunately', 'exact', 'accurate', 'accuracies']
fortunate : fortunately = professional : professionally -> ['professional', 'fortunately', 'ice-hockey', 'amateur', 'semi-professional']
fortunate : fortunately = quick : quickly -> ['quick', 'fortunately', 'cursory', 'tineye', 'well-timed']
fortunate : fortunately = quiet : quietly -> ['fortunately', 'quiet', 'calm', 'quietly', 'nonchalant']
fortunate : fortunately = rapid : rapidly -> ['rapid', 'fortunately', 'spurt', 'accelerating', 'widescale']
fortunate : fortunately = rare : rarely -> ['rare', 'fortunately', 'uncommon', 'unfortunately', 'rarer']
fortunate : fortunately = reluctant : reluctantly -> ['fortunately', 'reluctant', 'refuses', 'reluctantly', 'grudgingly']
fortunate : fortunately = safe : safely -> ['safe', 'fortunately', 'egress', 'first-aid', 'disabling']
fortunate : fortunately = serious : seriously -> ['fortunately', 'serious', 'niggling', 'severe', 'lingering']
fortunate : fortunately = slow : slowly -> ['slow', 'fortunately', 'slowed', 'slowing', 'slows']
fortunate : fortunately = sudden : suddenly -> ['sudden', 'fortunately', 'suddenness', 'suddenly', 'near-total']
fortunate : fortunately = swift : swiftly -> ['swift', 'fortunately', 'taylor', 'tyger', 'copter']
fortunate : fortunately = typical : typically -> ['typical', 'fortunately', 'resembling', 'unlike', 'mish-mash']
fortunate : fortunately = unfortunate : unfortunately -> ['fortunately', 'unfortunate', 'unfortunately', 'unavoidable', 'unexplained']
fortunate : fortunately = usual : usually -> ['usual', 'fortunately', 'usage', 'sortability', 'formating']
fortunate : fortunately = amazing : amazingly -> ['amazing', 'fortunately', 'incredible', 'astonishing', 'awesome']
fortunate : fortunately = apparent : apparently -> ['apparent', 'fortunately', 'obvious', 'apparant', 'unexplained']
fortunate : fortunately = calm : calmly -> ['calm', 'fortunately', 'calms', 'demeanor', 'calmed']
fortunate : fortunately = cheerful : cheerfully -> ['fortunately', 'cheerful', 'demeanor', 'good-natured', 'nonchalant']
fortunate : fortunately = complete : completely -> ['complete', 'fortunately', 'near-complete', 'partial', 'ground-up']
fortunate : fortunately = efficient : efficiently -> ['fortunately', 'efficient', 'non-intrusive', 'inefficient', 'cost-effective']
free : freely = furious : furiously -> ['furious', 'distraught', 'infuriated', 'enraged', 'horrified']
free : freely = happy : happily -> ['happy', 'pleased', 'delighted', 'freely', 'happier']
free : freely = immediate : immediately -> ['immediate', 'freely', 'unexpected', 'explicit', 'abrupt']
free : freely = infrequent : infrequently -> ['infrequent', 'infrequently', 'rarely', 'frequent', 'occasional']
free : freely = lucky : luckily -> ['lucky', 'unlucky', 'freely', 'delighted', 'innocently']
free : freely = most : mostly -> ['most', 'freely', 'enduringly', 'second-most', 'widely']
free : freely = obvious : obviously -> ['obvious', 'understandable', 'plainly', 'blatantly', 'unambiguous']
free : freely = occasional : occasionally -> ['occasional', 'occasionally', 'infrequently', 'infrequent', 'freely']
free : freely = possible : possibly -> ['possible', 'freely', 'practicable', 'necessary', 'impossible']
free : freely = precise : precisely -> ['precise', 'accurately', 'accurate', 'freely', 'careful']
free : freely = professional : professionally -> ['professional', 'freely', 'professionally', 'semi-professional', 'non-professional']
free : freely = quick : quickly -> ['quick', 'freely', 'clever', 'slow', 'fast']
free : freely = quiet : quietly -> ['quiet', 'tranquil', 'calm', 'quietly', 'cheerful']
free : freely = rapid : rapidly -> ['rapid', 'freely', 'rapidly', 'slow', 'growth']
free : freely = rare : rarely -> ['rare', 'rarely', 'uncommon', 'seldom', 'freely']
free : freely = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'unable', 'willing']
free : freely = safe : safely -> ['safe', 'freely', 'safer', 'passively', 'readily']
free : freely = serious : seriously -> ['serious', 'severe', 'freely', 'grievous', 'life-threatening']
free : freely = slow : slowly -> ['slow', 'fast', 'freely', 'slowed', 'slowly']
free : freely = sudden : suddenly -> ['sudden', 'abrupt', 'disorientation', 'convulsions', 'freely']
free : freely = swift : swiftly -> ['swift', 'freely', 'gulliver', 'skillfully', 'effortlessly']
free : freely = typical : typically -> ['typical', 'characteristic', 'typically', 'freely', 'plesiomorphic']
free : freely = unfortunate : unfortunately -> ['unfortunate', 'amusing', 'inexplicable', 'embarrassing', 'ironic']
free : freely = usual : usually -> ['usual', 'fluidly', 'freely', 'frequently', 'expressively']
free : freely = amazing : amazingly -> ['amazing', 'astonishing', 'incredible', 'astounding', 'unbelievable']
free : freely = apparent : apparently -> ['apparent', 'evident', 'freely', 'obvious', 'understandable']
free : freely = calm : calmly -> ['calm', 'demeanor', 'effortlessly', 'freely', 'demeanour']
free : freely = cheerful : cheerfully -> ['cheerful', 'playful', 'childlike', 'demeanor', 'witty']
free : freely = complete : completely -> ['complete', 'freely', 'properly', 'carefully', 'meticulously']
free : freely = efficient : efficiently -> ['efficient', 'efficiently', 'cost-effective', 'flexible', 'freely']
free : freely = fortunate : fortunately -> ['fortunate', 'freely', 'unlucky', 'realistically', 'able']
furious : furiously = happy : happily -> ['happy', 'cheerfully', 'furiously', 'glad', 'happier']
furious : furiously = immediate : immediately -> ['immediate', 'initial', 'actual', 'furiously', 'urgent']
furious : furiously = infrequent : infrequently -> ['infrequent', 'occasional', 'sporadic', 'infrequently', 'intermittent']
furious : furiously = lucky : luckily -> ['lucky', 'furiously', 'unlucky', 'guys', 'innocently']
furious : furiously = most : mostly -> ['most', 'particularly', 'especially', 'second-most', 'more']
furious : furiously = obvious : obviously -> ['obvious', 'blatantly', 'blatently', 'danjel', 'inapropriate']
furious : furiously = occasional : occasionally -> ['occasional', 'occasionally', 'infrequent', 'sporadically', 'intermittently']
furious : furiously = possible : possibly -> ['possible', 'practicable', 'such', 'avoiding', 'easier']
furious : furiously = precise : precisely -> ['precise', 'exact', 'accurate', 'accurately', 'coherently']
furious : furiously = professional : professionally -> ['professional', 'professionally', 'semi-professional', 'amateur', 'semi-pro']
furious : furiously = quick : quickly -> ['quick', 'furiously', 'frantically', 'reflexively', 'try']
furious : furiously = quiet : quietly -> ['quiet', 'calm', 'quietly', 'tranquil', 'furiously']
furious : furiously = rapid : rapidly -> ['rapid', 'accelerating', 'interborough', 'suburbanization', 'furiously']
furious : furiously = rare : rarely -> ['rare', 'rarer', 'rarely', 'rarest', 'uncommon']
furious : furiously = reluctant : reluctantly -> ['reluctant', 'hesitant', 'unwilling', 'furiously', 'refusing']
furious : furiously = safe : safely -> ['safe', 'safer', 'passively', 'clean', 'furiously']
furious : furiously = serious : seriously -> ['serious', 'severe', 'lingering', 'niggling', 'festering']
furious : furiously = slow : slowly -> ['slow', 'slowing', 'furiously', 'slowed', 'slows']
furious : furiously = sudden : suddenly -> ['sudden', 'furiously', 'breathlessness', 'coughing', 'unconsciousness']
furious : furiously = swift : swiftly -> ['swift', 'furiously', 'taylor', 'hume', 'chapman']
furious : furiously = typical : typically -> ['typical', 'usual', 'traditional', 'similar', 'resembling']
furious : furiously = unfortunate : unfortunately -> ['unfortunate', 'unpleasant', 'embarrassing', 'inexplicable', 'furiously']
furious : furiously = usual : usually -> ['usual', 'rather', 'furiously', 'above-mentioned', 'pedants']
furious : furiously = amazing : amazingly -> ['amazing', 'astonishing', 'incredible', 'astounding', 'furiously']
furious : furiously = apparent : apparently -> ['apparent', 'obvious', 'actual', 'ostensible', 'furiously']
furious : furiously = calm : calmly -> ['calm', 'furiously', 'calmly', 'cool', 'quiet']
furious : furiously = cheerful : cheerfully -> ['cheerful', 'cheery', 'girlish', 'dreamy', 'sweetly']
furious : furiously = complete : completely -> ['complete', 'inspect', 'continuous', 'partial', 'methodically']
furious : furiously = efficient : efficiently -> ['efficient', 'efficiently', 'cost-effective', 'cost-effectively', 'energy-efficient']
furious : furiously = fortunate : fortunately -> ['fortunate', 'assiduously', 'unlucky', 'congenial', 'furiously']
furious : furiously = free : freely -> ['free', 'freely', 'furiously', 'non-drafted', 'gratis']
happy : happily = immediate : immediately -> ['immediate', 'happily', 'initial', 'unmet', 'intervention']
happy : happily = infrequent : infrequently -> ['infrequent', 'happily', 'occasional', 'infrequently', 'sporadic']
happy : happily = lucky : luckily -> ['happily', 'lucky', 'prancer', 'pingg', 'accidentally']
happy : happily = most : mostly -> ['most', 'second-most', 'happily', 'oldest', 'heaviest']
happy : happily = obvious : obviously -> ['obvious', 'apparent', 'apparant', 'happily', 'unambiguous']
happy : happily = occasional : occasionally -> ['occasional', 'occasionally', 'happily', 'infrequent', 'occassional']
happy : happily = possible : possibly -> ['possible', 'happily', 'practicable', 'possibly', 'probable']
happy : happily = precise : precisely -> ['precise', 'exact', 'accurate', 'happily', 'quantitative']
